🇮🇩 INDONESIAN WORD SHEET,,,,,,,,
,,,,,,,,
#,English,Indonesian,Pronunciation,,#,English,Indonesian,Pronunciation
1,Cat,Kucing,koo-ching,,51,Man,Pria,pree-ah
2,Dog,Anjing,ahn-jing,,52,Woman,Wanita,wah-nee-tah
3,Fish,Ikan,ee-kahn,,53,Baby,Bayi,bah-yee
4,Bird,Burung,boo-roong,,54,Doctor,Dokter,dohk-tehr
5,Horse,Kuda,koo-dah,,55,Teacher,Guru,goo-roo
6,Elephant,Gajah,gah-jah,,56,Farmer,Petani,peh-tah-nee
7,Monkey,Monyet,moh-nyeht,,57,King,Raja,rah-jah
8,Snake,Ular,oo-lahr,,58,Soldier,Prajurit,prah-joo-rit
9,Cow,Sapi,sah-pee,,59,Friend,Teman,teh-mahn
10,Chicken,Ayam,ah-yahm,,60,Family,Keluarga,keh-loo-ahr-gah
11,Apple,Apel,ah-pehl,,61,Hand,Tangan,tahng-ahn
12,Banana,Pisang,pee-sahng,,62,Foot,Kaki,kah-kee
13,Mango,Mangga,mahng-gah,,63,Eye,Mata,mah-tah
14,Egg,Telur,teh-loor,,64,Nose,Hidung,hee-doong
15,Rice,Nasi,nah-see,,65,Mouth,Mulut,moo-loot
16,Bread,Roti,roh-tee,,66,Ear,Telinga,teh-ling-ah
17,Water,Air,ah-eer,,67,Heart,Jantung,jahn-toong
18,Milk,Susu,soo-soo,,68,Head,Kepala,keh-pah-lah
19,Coffee,Kopi,koh-pee,,69,Tooth,Gigi,gee-gee
20,Sugar,Gula,goo-lah,,70,Hair,Rambut,rahm-boot
21,Sun,Matahari,mah-tah-hah-ree,,71,Eating,Makan,mah-kahn
22,Moon,Bulan,boo-lahn,,72,Drinking,Minum,mee-noom
23,Star,Bintang,bin-tahng,,73,Sleeping,Tidur,tee-door
24,Rain,Hujan,hoo-jahn,,74,Running,Berlari,behr-lah-ree
25,Cloud,Awan,ah-wahn,,75,Swimming,Berenang,behr-eh-nahng
26,Mountain,Gunung,goo-noong,,76,Flying,Terbang,tehr-bahng
27,River,Sungai,soong-guy,,77,Crying,Menangis,meh-nahng-is
28,Sea,Laut,lah-oot,,78,Laughing,Tertawa,tehr-tah-wah
29,Tree,Pohon,poh-hohn,,79,Jumping,Melompat,meh-lohm-paht
30,Flower,Bunga,boong-gah,,80,Sitting,Duduk,doo-dook
31,House,Rumah,roo-mah,,81,Big,Besar,beh-sahr
32,Door,Pintu,pin-too,,82,Small,Kecil,keh-chil
33,Window,Jendela,jen-deh-lah,,83,Hot,Panas,pah-nahs
34,Chair,Kursi,koor-see,,84,Cold,Dingin,ding-in
35,Table,Meja,meh-jah,,85,Fast,Cepat,cheh-paht
36,Bed,Tempat tidur,tehm-paht tee-door,,86,Slow,Lambat,lahm-baht
37,Book,Buku,boo-koo,,87,Heavy,Berat,beh-raht
38,Pen,Pena,peh-nah,,88,Old,Tua,too-ah
39,Bag,Tas,tahs,,89,New,Baru,bah-roo
40,Key,Kunci,koon-chee,,90,Full,Penuh,peh-noo
41,Car,Mobil,moh-bil,,91,One,Satu,sah-too
42,Bus,Bus,boos,,92,Two,Dua,doo-ah
43,Boat,Perahu,peh-rah-hoo,,93,Three,Tiga,tee-gah
44,Airplane,Pesawat,peh-sah-waht,,94,Ten,Sepuluh,seh-poo-loo
45,Bicycle,Sepeda,seh-peh-dah,,95,Morning,Pagi,pah-gee
46,Road,Jalan,jah-lahn,,96,Night,Malam,mah-lahm
47,Bridge,Jembatan,jehm-bah-tahn,,97,Fire,Api,ah-pee
48,School,Sekolah,seh-koh-lah,,98,Umbrella,Payung,pah-yoong
49,Hospital,Rumah sakit,roo-mah sah-kit,,99,Crown,Mahkota,mah-koh-tah
50,Market,Pasar,pah-sahr,,100,Ladder,Tangga,tahng-gah
