🇸🇪 SWEDISH WORD SHEET,,,,,,,,
,,,,,,,,
#,English,Swedish,Pronunciation,,#,English,Swedish,Pronunciation
1,Cat,Katt,kaht,,51,Baby,Baby,bay-bee
2,Dog,Hund,hoond,,52,Man,Man,mahn
3,House,Hus,hoos,,53,Woman,Kvinna,kvin-ah
4,Tree,Träd,trayd,,54,Child,Barn,bahrn
5,Water,Vatten,vah-ten,,55,Family,Familj,fah-milj
6,Fire,Eld,eld,,56,Friend,Vän,ven
7,Sun,Sol,sool,,57,Teacher,Lärare,lair-ah-reh
8,Moon,Måne,moh-neh,,58,Doctor,Läkare,lay-kah-reh
9,Star,Stjärna,shair-na,,59,King,Kung,koong
10,Fish,Fisk,fisk,,60,Queen,Drottning,drot-ning
11,Bird,Fågel,foh-gel,,61,Castle,Slott,slot
12,Flower,Blomma,blom-ah,,62,Bridge,Bro,broo
13,Apple,Äpple,ep-leh,,63,Road,Väg,vayg
14,Bread,Bröd,bruud,,64,School,Skola,skoo-la
15,Milk,Mjölk,myulk,,65,Hospital,Sjukhus,shook-hoos
16,Egg,Ägg,egg,,66,Church,Kyrka,sheer-ka
17,Chair,Stol,stool,,67,Money,Pengar,peng-ar
18,Table,Bord,boord,,68,Phone,Telefon,teh-leh-foon
19,Book,Bok,book,,69,Letter,Brev,brayv
20,Car,Bil,beel,,70,Music,Musik,moo-seek
21,Boat,Båt,boht,,71,Guitar,Gitarr,yee-tar
22,Train,Tåg,tohg,,72,Drum,Trumma,troom-ah
23,Bicycle,Cykel,see-kel,,73,Ball,Boll,bol
24,Airplane,Flygplan,flewg-plahn,,74,Knife,Kniv,kneev
25,Mountain,Berg,bair-y,,75,Fork,Gaffel,gaf-el
26,River,Flod,flood,,76,Spoon,Sked,shayd
27,Ocean,Hav,hahv,,77,Plate,Tallrik,tal-reek
28,Snow,Snö,snuu,,78,Cup,Kopp,kop
29,Rain,Regn,reyn,,79,Bottle,Flaska,flask-ah
30,Wind,Vind,vind,,80,Bag,Väska,ves-ka
31,Cloud,Moln,moln,,81,Box,Låda,loh-da
32,Ice,Is,ees,,82,Map,Karta,kar-ta
33,Key,Nyckel,nee-kel,,83,Flag,Flagga,flag-ah
34,Door,Dörr,durr,,84,Camera,Kamera,kah-meh-ra
35,Window,Fönster,fun-ster,,85,Candle,Ljus,yoos
36,Clock,Klocka,klok-ah,,86,Mirror,Spegel,spay-gel
37,Hat,Hatt,haht,,87,Ladder,Stege,stay-geh
38,Shoe,Sko,skoo,,88,Hammer,Hammare,ham-ah-reh
39,Shirt,Skjorta,shoor-ta,,89,Crown,Krona,kroo-na
40,Dress,Klänning,klen-ing,,90,Ring,Ring,ring
41,Hand,Hand,hahnd,,91,Arrow,Pil,peel
42,Eye,Öga,uu-ga,,92,Sword,Svärd,svayrd
43,Mouth,Mun,moon,,93,Shield,Sköld,shuuld
44,Nose,Näsa,nay-sa,,94,Tent,Tält,telt
45,Ear,Öra,uu-ra,,95,Rope,Rep,rayp
46,Heart,Hjärta,yair-ta,,96,Anchor,Ankare,ahn-kah-reh
47,Head,Huvud,hoo-vood,,97,Lighthouse,Fyr,feer
48,Leg,Ben,bayn,,98,Rainbow,Regnbåge,reyn-boh-geh
49,Arm,Arm,arm,,99,Ghost,Spöke,spuu-keh
50,Finger,Finger,fing-er,,100,Dream,Dröm,druum
